ID,Assigned Technology
111125003514,BBPLC
111125004904,BBPLC
111125011729,BBPLC
111125004880,BBPLC
111125011593,BBPLC
111125002648,BBPLC
111125010942,BBPLC
111125011683,BBPLC
111125011733,BBPLC
111125006198,BBPLC
111125010071,BBPLC
111125002126,BBPLC
111125001076,BBPLC
111125003625,BBPLC
111125004288,BBPLC
111125010041,BBPLC
111125006902,BBPLC
111125006890,BBPLC
111125004595,BBPLC
111125003614,BBPLC
111125011546,BBPLC
111125005913,BBPLC
111125003620,BBPLC
111125013119,BBPLC
111125003278,BBPLC
111125000844,BBPLC
111125006196,BBPLC
111125011558,BBPLC
111125010073,BBPLC
111125004966,BBPLC
111125002736,BBPLC
111125011563,BBPLC
111125013202,BBPLC
111125000613,BBPLC
111125006785,BBPLC
111125010534,BBPLC
111125006813,BBPLC
111125011562,BBPLC
111125003899,BBPLC
111125012380,BBPLC
111125003291,BBPLC
111125002468,BBPLC
111125009560,BBPLC
111125010592,BBPLC
111125005254,BBPLC
111125011570,BBPLC
111125011758,BBPLC
111125003624,BBPLC
111125009558,BBPLC
111125002725,BBPLC
111125005151,BBPLC
111125012621,BBPLC
111125007313,BBPLC
111125009561,BBPLC
111125011578,BBPLC
111125003623,BBPLC
111125002074,BBPLC
111125009559,BBPLC
111125013118,BBPLC
111125000937,BBPLC
111125003207,BBPLC
111125003632,BBPLC
111125009920,BBPLC
111125011730,BBPLC
111125011726,BBPLC
111125013180,BBPLC
111125003635,BBPLC
111125011247,BBPLC
111125000380,BBPLC
111125003286,NBPLC
111125010691,NBPLC
111125013107,NBPLC
111125012705,NBPLC
111125002077,NBPLC
111125002125,NBPLC
111125006046,NBPLC
111125005733,NBPLC
111125011725,NBPLC
111125009556,NBPLC
111125004931,NBPLC
111125005140,NBPLC
111125006787,NBPLC
111125007412,NBPLC
111125005255,NBPLC
111125006781,NBPLC
111125003627,NBPLC
111125010740,NBPLC
111125008057,NBPLC
111125011557,NBPLC
111125002376,NBPLC
111125011256,NBPLC
111125011513,NBPLC
111125011721,NBPLC
111125011123,NBPLC
111125004902,NBPLC
111125006812,NBPLC
111125003285,NBPLC
111125011552,NBPLC
111125002052,NBPLC
